id,date,pm25,pm10,no2,o3,created_at
4e3940a3-4fe8-45ee-a35a-5c297f6d2e96,2026-01-01 00:00:00+00:00,97,9,6,29,2026-01-10T09:00:54.27232+00:00
b2cf12da-8876-4642-a6b0-ae6c858bcd37,2026-01-02 00:00:00+00:00,28,12,9,27,2026-01-10T09:00:54.27232+00:00
79743dc1-3ebe-4968-9ab9-745caff16b6b,2026-01-03 00:00:00+00:00,39,14,11,26,2026-01-10T09:00:54.27232+00:00
65fc0de2-1ff9-41ac-863c-610225d5a1be,2026-01-04 00:00:00+00:00,44,20,18,19,2026-01-10T09:00:54.27232+00:00
be877567-cf7f-4945-b087-b7fe2eeaad3e,2026-01-05 00:00:00+00:00,60,31,21,11,2026-01-10T09:00:54.27232+00:00
c53edd70-7ca9-4be3-961f-be5309af672b,2026-01-06 00:00:00+00:00,81,28,19,13,2026-01-10T09:00:54.27232+00:00
5f5b8c05-538a-4ea3-9a45-9c9785ebb786,2026-01-07 00:00:00+00:00,79,32,18,14,2026-01-10T09:00:54.27232+00:00
65c30e7a-0265-4786-9393-33c5ca08a863,2026-01-08 00:00:00+00:00,82,29,7,16,2026-01-10T09:00:54.27232+00:00
cfb5c926-48f3-441b-acef-7c7e3944eb83,2026-01-09 00:00:00+00:00,16,21,17,15,2026-01-10T09:13:49.510839+00:00
